sku,date,competitor,structure_level_1,abc,xyz,seil,structure_level_3,promo_part_w_sku,avg_discount_w_sku,avg_discount_w_L3,promo_part_w_L3,flag_promo,pvp_is,discount,pvp_was,pvp_was_chain,last_promo_date
1128,2024-10-21,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-22,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-23,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-24,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-25,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-26,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-27,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1128,2024-10-28,competitorA,3,C,Z,lumpy,30204,0.0,0.0,0.2785624020489382,0.1597779326251443,0.0,76.2,0.0,76.2,76.2,
1133,2024-10-21,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-22,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-23,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-24,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-25,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-26,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-27,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1133,2024-10-28,competitorA,3,C,Z,lumpy,30408,0.0,0.0,0.2128217015761197,0.2224263071244033,0.0,22.91,0.0,22.91,22.91,
1136,2024-10-21,competitorA,1,C,Z,lumpy,10104,0.5082966871885078,0.2505,0.1912967851993927,0.2386325870117361,1.0,51.902875,0.2505,69.25,60.58,2024-10-24
